author,title,description,url,language,country,published_at
Luke Baker,What is ChatGPT and why should you care?,"Artificial intelligence, or AI as it's more commonly known, is getting incredibly powerful at an unprecedented speed.You've likely seen all the AI-generated",https://www.pocket-lint.com/apps/news/163747-what-is-chatgpt-and-why-should-you-care,en,us,2022-12-08T10:55:29+00:00
Web Desk,AI debate heats up as chatbot sophistication rises,"San Francisco, CA: OpenAI, a startup based in California, has released a chatbot that can answer a variety of questions. However, the chatbot&#8217;s impressive performance has rekindled the discussion regarding the dangers associated with artificial intelligence (AI) technologies. Users who are enthralled by ChatGPT&#8217;s conversations post them on Twitter, demonstrating a form of omniscient machine [...]The post AI debate heats up as chatbot sophistication rises appeared first on PKKH.tv.",https://www.pakistankakhudahafiz.com/ai-debate-heats-up-as-chatbot-sophistication-rises/,en,us,2022-12-05T05:47:26+00:00
William A. Dembski,Dialogue with ChatGPT on Intelligent Design,ChatGPT is a context-dependent natural language generator that tries to respond relevantly to textual prompts from human users to simulate conversation.Source,https://evolutionnews.org/2022/12/dialogue-with-chatgpt-on-intelligent-design/,en,us,2022-12-06T20:27:57+00:00
Nate Bek,"OpenAI’s ChatGPT bot sparks excitement and concern from investors, entrepreneurs, researchers","&#8220;Extremely impressive.&#8221; &#8220;Incredibly rich.&#8221; &#8220;Super exciting.&#8221; That&#8217;s how tech leaders are describing ChatGPT, the new conversational chatbot model released last week by OpenAI. The bot builds on existing GPT natural language technology developed by OpenAI, the San Francisco-based organization formed by tech leaders Sam Altman and Elon Musk, and backed by Microsoft, which helps power the back-end cloud computing for OpenAI products. But the latest update sparked huge reaction over the past week — and more than 1 million users — given how ChatGPT is...",https://www.geekwire.com/2022/openais-chatgpt-bot-sparks-excitement-and-concern-from-investors-entrepreneurs-researchers/,en,us,2022-12-05T20:25:18+00:00
,Gmail creator predicts total disruption for Google as chatbot ChatGPT challenges tech giant monopoly,Latest iteration of artificial intelligence chatbot leading to speculation it could replace popular tools like Google's search engine within two years. ChatGPT was created by a leading AI research lab.,https://www.dailymail.co.uk/news/article-11505957/Gmail-creator-predicts-total-disruption-Google-chatbot-ChatGPT-challenges-tech-giant-monopoly.html?ns_mchannel=rss&ns_campaign=1490&ito=1490,en,gb,2022-12-06T07:07:11+00:00
,"OpenAI's ChatGPT is scary good at my job, but it can't replace me (yet)","Letting an AI write product reviews? I'm afraid I can't do that, OpenAI.",https://www.zdnet.com/article/openais-chatgpt-is-scary-good-at-my-job-but-it-cant-replace-me-yet/#ftag=RSSbaffb68,en,us,2022-12-08T14:17:36+00:00
Jason Koebler,Everybody Please Calm Down About ChatGPT,The panic and hype around the surprisingly dumb chatbot is stopping us from talking about real issues with AI.,https://www.vice.com/en_us/article/bvmk9m/everybody-please-calm-down-about-chatgpt,en,us,2022-12-16T14:13:43+00:00
Mark Frauenfelder,Watch this AI negotiate a Comcast bill reduction,"DoNotPay, a service that uses bots to fight parking tickets, cancel subscriptions, and file lawsuits, demonstrated the successful use of ChatGPT to negotiate with a Comcast customer support agent to reduce an internet bill.Here's an excerpt:Agent: Hi Nhat, thank you for contacting Xfinity. &#8212; Read the rest",https://boingboing.net/2022/12/14/watch-this-ai-negotiate-a-comcast-bill-reduction.html,en,us,2022-12-14T12:13:49+00:00
Alan Truly,I used the ChatGPT AI chatbot to do my holiday shopping this year,Here's how ChatGPT'' advanced artificial intelligence was leveraged to solve one of the most urgent needs of our time -- making a holiday gift list!,https://www.digitaltrends.com/computing/i-used-chatgpt-to-do-my-holiday-shopping-this-year/,en,us,2022-12-13T11:00:55+00:00
"Rashi Shrivastava, Forbes Staff",Teachers Fear ChatGPT Will Make Cheating Easier Than Ever,"“There’s a lot of cheap knowledge out there. I think this could be a danger in education, and it’s not good for kids,” said one educator of OpenAI’s viral chatbot.",https://www.forbes.com/sites/rashishrivastava/2022/12/12/teachers-fear-chatgpt-will-make-cheating-easier-than-ever/,en,us,2022-12-12T18:11:45+00:00
Dave Maclean,"The AI that might take your job, make your medical decisions and decide your bail","From ChatGPT to DALL-E, Dave Maclean reports on what’s possible now — and what AI is poised to do for us in the future",https://www.independent.co.uk/news/world/americas/artificial-intelligence-chatgpt-dall-e-b2244396.html,en,gb,2022-12-13T15:25:49+00:00
Reuters,ChatGPT owner OpenAI projects $1 billion in revenue by 2024 -sources,"ChatGPT, the new chatbot that is the talk of Silicon Valley, can spit out haikus, crack jokes in Italian and may soon be the scourge of teachers everywhere facing fake essays generated by the AI-powered technology. But a question it can&#8217;t fully answer is this: How will OpenAI make money? The research organization, co-founded by [&#8230;]",https://financialpost.com/pmn/business-pmn/chatgpt-owner-openai-projects-1-billion-in-revenue-by-2024-sources,en,us,2022-12-15T15:02:30+00:00
Amit Katwala,How to Stop ChatGPT from Going Off the Rails,The viral chatbot wasn’t up to writing a WIRED newsletter. But it's fluent enough to raise questions about how to keep eloquent AI systems accountable.,https://www.wired.com/story/plaintext-how-to-stop-chatgpt-from-going-off-the-rails/,en,us,2022-12-16T14:00:00+00:00
Paul Bertorelli,"And Now, a ChatBot For All Your Aviation Questions","ChatGPT is a know-it-all machine learning app. So how does it do with aviation questions? Better than I would have thought.The post And Now, a ChatBot For All Your Aviation Questions appeared first on AVweb.",https://s30121.pcdn.co/insider/and-now-a-chatbot-for-all-your-aviation-questions/#utm_source=rss&utm_medium=rss&utm_campaign=and-now-a-chatbot-for-all-your-aviation-questions,en,us,2022-12-19T00:23:25+00:00
Jennifer Sandlin,ChatGPT arrives in the academic world,"AI art and text generators are all the rage right now. As an academic, I've seen an uptick in colleagues issuing warnings about students using tools like ChatGPT to create assignments, but I haven't yet really done too much investigation—I've been too busy grading final papers! &#8212; Read the rest",https://boingboing.net/2022/12/19/chatgpt-arrives-in-the-academic-world.html,en,us,2022-12-19T11:22:00+00:00
Mack DeGeurin,Google Is Working Behind the Scenes to Protect Search From ChatGPT,"Google is reportedly ramping up work behind the scenes to close the technological gap with OpenAI’s ChatGPT model, an advanced chatbot capable of churning out conversational answers which some critics warn could pose the most significant threat to Google’s treasured search dominance in years. Read more...",https://gizmodo.com/google-openai-chatgpt-google-search-1849922839,en,us,2022-12-22T17:15:00+00:00
Stephen Brook,"This month, the world changed and you barely noticed",New artifical intelligence program ChatGPT can answer almost any question. It can compare philosophers and explain how to get peanut butter out of your VCR. It may soon be coming for your job.,https://www.watoday.com.au/national/this-month-the-world-changed-and-you-barely-noticed-20221214-p5c6en.html?ref=rss&utm_medium=rss&utm_source=rss_feed,en,au,2022-12-17T18:00:00+00:00
Jordan Pearson,ChatGPT Can Negotiate Comcast Bills Down For You,"""That's the future of bureaucracy: bots negotiating with each other,"" said Joshua Browder, CEO of DoNotPay, which is rolling out the service.",https://www.vice.com/en_us/article/wxn955/chatgpt-can-negotiate-comcast-bills-down-for-you,en,us,2022-12-20T14:00:00+00:00
Mohammed Rayaan,ChatGPT: Should teachers be worried?,,https://www.thehindubusinessline.com/multimedia/audio/chatgpt-should-teachers-be-worried/article66295315.ece,en,us,2022-12-23T04:15:59+00:00
Brian X. Chen,How to Use ChatGPT and Still Be a Good Person,"It’s a turning point for artificial intelligence, and we need to take advantage of these tools without causing harm to ourselves or others.",https://www.nytimes.com/2022/12/21/technology/personaltech/how-to-use-chatgpt-ethically.html,en,us,2022-12-21T10:00:19+00:00
Anugraha Sundaravelu,"Google issues ‘code red’, spooked by ChatGPT’s rising popularity",The company is shifting gears to AI products.,https://metro.co.uk/2022/12/22/google-issues-code-red-spooked-by-chatgpts-rising-popularity-17983993/,en,gb,2022-12-22T14:22:59+00:00
,OpenAI tests the premium version of ChatGPT; here&#039;s how you can get it,The paid version of this chatbot will be called ChatGPT Professional. The company has also made a waitlist through Google forms which asks users about the range of prices at which they would like the ChatGPT service to be available.,https://www.businesstoday.in/technology/story/openai-tests-the-premium-version-of-chatgpt-heres-how-you-can-get-it-359958-2023-01-12?utm_source=rssfeed,en,in,2023-01-12T09:47:42+00:00
Fionna Agomuoh,Character.AI: how to use this entertaining ChatGPT alternative,Character.ai is stepping in as a ChatGPT alternative at a time when the popular chatbot is facing troubleshooting issues. See how its competitor works.,https://www.digitaltrends.com/computing/character-ai-how-to-use/,en,us,2023-01-13T12:41:25+00:00
Cade Metz and Karen Weise,Microsoft Bets Big on the Creator of ChatGPT in Race to Dominate A.I.,"As a new chatbot wows the world with its conversational talents, a resurgent tech giant is poised to reap the benefits while doubling down on a relationship with the start-up OpenAI.",https://www.nytimes.com/2023/01/12/technology/microsoft-openai-chatgpt.html,en,us,2023-01-12T23:16:02+00:00
Yahoo Finance UK,ChatGPT: What you need to know about the most talked about AI tool,ChatGPT is an artificial intelligence tool that can replicate human tasks from producing sophisticated computer code to writing academic papers.,https://uk.finance.yahoo.com/news/chat-gpt-ai-tool-112100132.html?src=rss,en,us,2023-01-13T11:21:00+00:00
Niall Kitson,Microsoft’s $10bn OpenAI investment could end AI competition before it starts,"Microsoft could soon invest as much as $10 billion in OpenAI, the company behind generative artificial intelligence (AI) models such as ChatGPT and Dall·E. If the deal goes through, it would represent a major step by the tech giant to consolidate its place in the AI market, as well as to improve its existing products [&hellipThe post Microsoft’s $10bn OpenAI investment could end AI competition before it starts appeared first on TechCentral.ie.",https://www.techcentral.ie/microsofts-10bn-openai-investment-could-end-ai-competition-before-it-starts/,en,ie,2023-01-13T11:58:54+00:00
Darrell Etherington,Bad Meta! and other TC news,"Welcome back to the TechCrunch Podcast. This week Christine Hall is here to talk about how VCs are using ChatGPT and Natasha Lomas comes on to explain why meta is in  regulatory hot water. And as always, Darrell breaks down the biggest stories in tech. Articles from the episode: Some investors are (cautiously) implementing ChatGPT [&#8230;]Bad Meta! and other TC news by Darrell Etherington originally published on TechCrunch",https://techcrunch.com/2023/01/13/bad-meta-and-other-tc-news/,en,us,2023-01-13T20:09:48+00:00
Taylor Soper,Seattle Public Schools bans ChatGPT; district ‘requires original thought and work from students’,"Seattle Public Schools is joining a growing number of school districts banning ChatGPT, the natural language chatbot from OpenAI that has sparked widespread attention in recent weeks. ChatGPT has garnered praise for its ability to quickly answer complex queries and instantly produce content. But it&#8217;s also generating concern among educators worried that students will use the technology to do their homework. SPS blocked ChatGPT on all school devices in December, said Tim Robinson, a spokesman for Seattle Public Schools, an in email to GeekWire. &#8220;Like all school districts, Seattle...",https://www.geekwire.com/2023/seattle-public-schools-bans-chatgpt-district-requires-original-thought-and-work-from-students/,en,us,2023-01-16T21:25:10+00:00
